iter	Passed	Remaining
415	2943	4132
416	2950	4125
417	2956	4117
418	2968	4116
419	2976	4110
420	2982	4102
421	2989	4094
422	2995	4086
423	3002	4078
424	3008	4070
425	3015	4062
426	3021	4055
427	3028	4047
428	3035	4039
429	3041	4032
430	3047	4023
431	3054	4015
432	3060	4008
433	3067	4000
434	3074	3992
435	3080	3984
436	3086	3976
437	3093	3969
438	3099	3961
439	3106	3953
440	3112	3945
441	3118	3937
442	3124	3929
443	3131	3921
444	3137	3913
445	3143	3905
446	3151	3898
447	3158	3891
448	3165	3884
449	3172	3877
450	3179	3870
451	3186	3863
452	3192	3855
453	3199	3847
454	3205	3839
455	3211	3831
456	3218	3823
457	3224	3815
458	3230	3807
459	3236	3799
460	3243	3792
461	3250	3784
462	3256	3777
463	3262	3769
464	3269	3761
465	3277	3756
466	3284	3748
467	3291	3741
468	3297	3733
469	3304	3726
470	3310	3718
471	3316	3710
472	3323	3702
473	3329	3694
474	3336	3687
475	3343	3680
476	3349	3672
477	3356	3665
478	3362	3657
479	3369	3649
480	3376	3643
481	3382	3635
482	3389	3628
483	3395	3620
484	3402	3612
485	3408	3604
486	3415	3597
487	3421	3589
488	3427	3582
489	3434	3574
490	3440	3567
491	3447	3560
492	3454	3552
493	3463	3547
494	3470	3540
495	3477	3533
496	3483	3525
497	3489	3517
498	3495	3510
499	3502	3502
500	3508	3494
501	3515	3487
502	3522	3480
503	3528	3472
504	3535	3465
505	3541	3457
506	3547	3449
507	3553	3441
508	3560	3434
509	3566	3426
510	3572	3418
511	3579	3411
512	3585	3404
513	3592	3396
514	3598	3389
515	3605	3381
516	3611	3373
517	3617	3366
518	3623	3358
519	3630	3351
520	3636	3343
521	3643	3336
522	3649	3328
523	3656	3321
524	3662	3313
525	3668	3306
526	3674	3298
527	3681	3290
528	3687	3283
529	3694	3275
530	3700	3268
531	3706	3260
532	3712	3253
533	3719	3245
534	3725	3237
535	3731	3230
536	3738	3223
537	3744	3215
538	3751	3208
539	3758	3201
540	3764	3194
541	3771	3187
542	3778	3179
543	3784	3172
544	3790	3164
545	3798	3158
546	3805	3151
547	3812	3144
548	3818	3136
549	3825	3129
550	3831	3122
551	3837	3114
552	3844	3107
553	3851	3100
554	3857	3093
555	3864	3086
556	3872	3079
557	3878	3072
558	3885	3064
559	3891	3057
560	3897	3050
561	3904	3042
562	3911	3036
563	3918	3028
564	3924	3021
565	3930	3014
566	3937	3006
567	3943	2999
568	3949	2991
569	3959	2987
570	3966	2980
571	3973	2972
572	3979	2965
573	3986	2958
574	3992	2951
575	3999	2943
